date,MARUTI.NS,M&M.NS,TATAMOTORS.NS,BAJAJ-AUTO.NS,HEROMOTOCO.NS,EICHERMOT.NS,BHARATFORG.NS,BALKRISIND.NS,ASHOKLEY.NS,MRF.NS
06-10-2016,5710.450195,686.4500122,551.4500122,2823.050049,3474.25,2624.084961,465.4249878,573.25,80.80000305,53892.80078
07-10-2016,5683.799805,687,565.7000122,2883.5,3474.199951,2581.044922,478.25,558.4749756,81.19999695,53471.89844
10-10-2016,5712.350098,688.4500122,562.0499878,2876.399902,3488.850098,2580.459961,468.4249878,551.3250122,80.75,53034
13-10-2016,5718.549805,684.875,544.8499756,2825.25,3500.550049,2580.320068,456.9249878,536.625,79.40000153,53371.30078
14-10-2016,5690.450195,678.5499878,556.0999756,2798.300049,3481.600098,2540.014893,458.1000061,552.2249756,80.65000153,52449
17-10-2016,5599.100098,656.5499878,547.5499878,2753.850098,3405.5,2464.73999,444.8500061,539.375,81.59999847,49873.05078
18-10-2016,5626.700195,666.6749878,554.25,2792.649902,3409.449951,2506.909912,452.625,531.7000122,83.84999847,51627.60156
19-10-2016,5604.600098,663.9500122,550.5,2787.949951,3361.949951,2497.820068,450.7000122,529.7750244,84.34999847,50518.39844
20-10-2016,5644.5,663.7000122,546.8499756,2796.550049,3362,2498.860107,447.0249939,518.6749878,85.69999695,49770.05078
21-10-2016,5650.200195,663.375,544.5,2802.350098,3359.850098,2512.215088,444.8250122,523.2000122,87.05000305,50438.25
24-10-2016,5713.899902,669.625,559.7999878,2790,3334.850098,2491.439941,443.375,544.2000122,88.05000305,49949.85156
25-10-2016,5781.450195,651.9500122,553.7999878,2801.550049,3355.550049,2463.100098,438.1499939,544.2249756,87.65000153,50100.05078
26-10-2016,5869.100098,654.4749756,530.0499878,2823.949951,3419.050049,2441.879883,435.9249878,540.375,87.19999695,49638.55078
27-10-2016,5860.149902,649.875,522,2761.5,3313.649902,2449.185059,428.2000122,531.25,84.90000153,46403.60156
28-10-2016,5876.149902,655.9000244,537,2848.100098,3351.850098,2402,442.4500122,530.9000244,90.25,47955.55078
01-11-2016,5878.100098,663.1749878,530.5999756,2825.600098,3370.199951,2532.100098,433.3500061,524.2750244,90.09999847,50095.44922
